_id,version,code,district_type_kh,district_type_en,name_en,reference,issued_date,prefix,name,city_provinces,createdAt,updatedAt,__v,note
207,1,207,ស្រុក,District,Rotonak Mondol,លេខ​៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,រតនមណ្ឌល,2,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
307,1,307,ស្រុក,District,Kang Meas,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កងមាស,3,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,
407,1,407,ស្រុក,District,Sameakki Mean Chey,ប្រកាសលេខ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,សាមគ្គីមានជ័យ,4,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
104,1,104,ស្រុក,District,Preah Netr Preah,ប្រកាសលេខ ៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ព្រះនេត្រព្រះ,1,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,
805,1,805,ស្រុក,District,Leuk Daek,លេខ​ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,លើកដែក,8,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
606,1,606,ស្រុក,District,Sandan,លេខប្រកាស ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,សណ្ដាន់,6,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
206,1,206,ស្រុក,District,Moung Ruessei,លេខ​៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,មោងឫស្សី,2,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
1703,1,1703,ស្រុក,District,Banteay Srei,,,202,បន្ទាយស្រី,17,2020-09-07 01:59:43.397,2020-09-07 01:59:43.397,0,
2301,1,2301,ស្រុក,District,Damnak Chang'aeur,អនុក្រឹត្យលេខ ០៦ អនក្រ.បក,2009-01-08T17:00:00.000+0000,202,ដំណាក់ចង្អើរ,23,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,ត្រូវបានប្តូរខណ្ឌដំណាក់ចង្អើរទៅជាស្រុកដំណាក់ចង្អើរ
303,1,303,ស្រុក,District,Cheung Prey,ប្រកាសលេខ ៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ជើងព្រៃ,3,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,
504,1,504,ស្រុក,District,Aoral,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ឱរ៉ាល់,5,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
