_id,bucket_name,filename,filename_video,original_id,status,message,createdAt,updatedAt,__v,creating_at,processing_at,finished_at
61332e394afd74f835557fe2,file_course_datas,61332e313715e898f073721b_1630744121172.m3u8,61332e313715e898f073721b_1630744121118.m3u8,61332e313715e898f073721b,Success,Finished generate thumbnails,2021-09-04 08:28:41.175,2021-09-04 08:29:18.140,0,2021-09-04 08:28:41.173,2021-09-04 08:28:43.584,2021-09-04 08:29:18.129
61332e562d05af4a71239515,file_course_datas,61332e4e5a8a059d18d9ff32_1630744150901.m3u8,61332e4e5a8a059d18d9ff32_1630744150826.m3u8,61332e4e5a8a059d18d9ff32,Success,Finished generate thumbnails,2021-09-04 08:29:10.910,2021-09-04 08:29:39.509,0,2021-09-04 08:29:10.902,2021-09-04 08:29:13.350,2021-09-04 08:29:39.502
61332e6bed2b4b3af2725577,file_course_datas,61332e62f1b7ce9d2819cd60_1630744171381.m3u8,61332e62f1b7ce9d2819cd60_1630744171328.m3u8,61332e62f1b7ce9d2819cd60,Success,Finished generate thumbnails,2021-09-04 08:29:31.392,2021-09-04 08:30:29.165,0,2021-09-04 08:29:31.382,2021-09-04 08:29:34.172,2021-09-04 08:30:29.155
61332e8fbb271bf82a556c46,file_course_datas,61332e8342ae9ca2ee5d5021_1630744207428.m3u8,61332e8342ae9ca2ee5d5021_1630744207363.m3u8,61332e8342ae9ca2ee5d5021,Success,Finished generate thumbnails,2021-09-04 08:30:07.436,2021-09-04 08:30:58.073,0,2021-09-04 08:30:07.430,2021-09-04 08:30:13.981,2021-09-04 08:30:58.063
61332e9eb666974a81fb7e26,file_course_datas,61332e8feed6ba98c252118d_1630744222147.m3u8,61332e8feed6ba98c252118d_1630744222062.m3u8,61332e8feed6ba98c252118d,Success,Finished generate thumbnails,2021-09-04 08:30:22.155,2021-09-04 08:31:17.985,0,2021-09-04 08:30:22.148,2021-09-04 08:30:27.921,2021-09-04 08:31:17.973
61332ea93b70833adb74adc0,file_course_datas,61332ea85d7dd5a2b7047cf8_1630744233674.m3u8,61332ea85d7dd5a2b7047cf8_1630744233582.m3u8,61332ea85d7dd5a2b7047cf8,Success,Finished generate thumbnails,2021-09-04 08:30:33.684,2021-09-04 08:30:57.606,0,2021-09-04 08:30:33.675,2021-09-04 08:30:34.467,2021-09-04 08:30:57.604
61332efb5ea79df834a276d9,file_course_datas,61332ef8b1f24742d5b2e564_1630744315295.m3u8,61332ef8b1f24742d5b2e564_1630744315218.m3u8,61332ef8b1f24742d5b2e564,Success,Finished generate thumbnails,2021-09-04 08:31:55.305,2021-09-04 08:32:20.091,0,2021-09-04 08:31:55.296,2021-09-04 08:31:56.017,2021-09-04 08:32:20.083
61332f16a047714a7b55c9dc,file_course_datas,61332f115d7dd5a2b7047dc0_1630744342759.m3u8,61332f115d7dd5a2b7047dc0_1630744342662.m3u8,61332f115d7dd5a2b7047dc0,Success,Finished generate thumbnails,2021-09-04 08:32:22.762,2021-09-04 08:32:52.216,0,2021-09-04 08:32:22.759,2021-09-04 08:32:24.534,2021-09-04 08:32:52.207
61332faf5eaf0c3ae9390300,file_course_datas,61332fac3715e898f073782c_1630744495640.m3u8,61332fac3715e898f073782c_1630744495562.m3u8,61332fac3715e898f073782c,Success,Finished generate thumbnails,2021-09-04 08:34:55.648,2021-09-04 08:35:22.245,0,2021-09-04 08:34:55.641,2021-09-04 08:34:56.579,2021-09-04 08:35:22.232
61332fc8a74658f8248eb75e,file_course_datas,61332fc4d795ec98d0244656_1630744520282.m3u8,61332fc4d795ec98d0244656_1630744520208.m3u8,61332fc4d795ec98d0244656,Success,Finished generate thumbnails,2021-09-04 08:35:20.290,2021-09-04 08:35:40.223,0,2021-09-04 08:35:20.283,2021-09-04 08:35:21.293,2021-09-04 08:35:40.212
