_id,status,sender_staffs,notification_type,message,receiver_students,announcements,__v,createdAt,updatedAt
60dae06202c9e67053c05d61,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d98cc6c059a40adb37c3b1,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.125,2021-06-29 08:57:06.125
60dae06202c9e67053c05d62,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d962350c4ed7e597456f99,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d67,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d520ff991c55e7a5363c76,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d92,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609ce347d5c7ff20b240cf4a,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-06-29 08:57:06.131
60dae06202c9e67053c05d9f,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60981ece1e4b5a12ff6bf41d,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-06-29 08:57:06.132
60dae06202c9e67053c05d76,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d04fc165b882e577d622af,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d8a,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60a23b75371c4eb4837060e8,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-07-19 08:28:10.954
60dae06202c9e67053c05d8d,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609e406b2addc520e61db13f,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05d95,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609a8bda0da1ae20f6d4535b,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-06-29 08:57:06.131
60dae06202c9e67053c05da0,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6097db3c60c9d01330ba4b76,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-06-29 08:57:06.132
60dae06202c9e67053c05d68,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d51f8d2f8db7e794c274a0,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d6d,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d432593d549f33ea080463,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d71,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d301713f8e8ee371d29de6,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d88,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60a2566137bfeab461bf0a26,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05d8c,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609e6b920da1ae20f6d51eb9,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05d8f,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609e0b3e62bf3ea603efd2cb,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05d75,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d1b18265b882e577d76b76,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d77,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60c8936b7504f5e57f68670a,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.128,2021-06-29 08:57:06.128
60dae06202c9e67053c05d80,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60af5758154c4567e53ac354,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05da4,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6095728f83c32a0468b97de0,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-08-13 10:25:14.942
60dae06202c9e67053c05d79,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60c045e96d67c06027830800,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.128,2021-06-29 08:57:06.128
