_id,bucket_name,filename,original_id,encoder,protocol,status,message,createdAt,updatedAt,__v
6133269e871a39d98a3debb2,file_course_datas,61331be1d8f31e42b5eb094c_1630739427011.m3u8,61331be1d8f31e42b5eb094c,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:56:14.545,2021-09-04 07:56:14.545,0
613326cff96e1cb37d376918,file_course_datas,61331e45afc69442bb846d09_1630740038406.m3u8,61331e45afc69442bb846d09,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:57:03.580,2021-09-04 07:57:03.580,0
613326ed800046f222cdf380,file_course_datas,61331ab7426cd2a2dcde8c8a_1630739136748.m3u8,61331ab7426cd2a2dcde8c8a,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:57:33.071,2021-09-04 07:57:33.071,0
613326fb478493da8d3ced0a,file_course_datas,61331f735a8a059d18d9f796_1630740341075.m3u8,61331f735a8a059d18d9f796,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:57:47.804,2021-09-04 07:57:47.804,0
61332727c96abc33aae03d0b,file_course_datas,61331eca2c558b9cddc9bc18_1630740171709.m3u8,61331eca2c558b9cddc9bc18,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:58:31.866,2021-09-04 07:58:31.866,0
6133272f38f6cada8496f618,file_course_datas,61331e6bd8f31e42b5eb0aa3_1630740076739.m3u8,61331e6bd8f31e42b5eb0aa3,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:58:39.610,2021-09-04 07:58:39.610,0
6133274fd34b02a2abe4620a,file_course_datas,61331e9fc1ba18a2d63c25fc_1630740128853.m3u8,61331e9fc1ba18a2d63c25fc,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:59:11.497,2021-09-04 07:59:11.497,0
6133275af3b481371c79ad92,file_course_datas,61331aa2bd0aaa9cfb016acc_1630739115502.m3u8,61331aa2bd0aaa9cfb016acc,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:59:22.951,2021-09-04 07:59:22.951,0
61332764423ae1d59775f1d1,file_course_datas,61331f15a5eee9a2beaed0b9_1630740247237.m3u8,61331f15a5eee9a2beaed0b9,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:59:32.027,2021-09-04 07:59:32.027,0
6133276b84e26dd9a7e21faf,file_course_datas,61331e2fa4acb342f72e8810_1630740027237.m3u8,61331e2fa4acb342f72e8810,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:59:39.953,2021-09-04 07:59:39.953,0
6133276ee87ed7c36184110b,file_course_datas,61331f05ef0b8b9ce39b29bf_1630740231260.m3u8,61331f05ef0b8b9ce39b29bf,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:59:42.173,2021-09-04 07:59:42.173,0
613327d7ef0b6ac34b8439f8,file_course_datas,61331f2d993f3698d1a0e556_1630740271252.m3u8,61331f2d993f3698d1a0e556,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:01:27.964,2021-09-04 08:01:27.964,0
613327eaf84306546276a4ae,file_course_datas,61331f565a8a059d18d9f6cc_1630740311539.m3u8,61331f565a8a059d18d9f6cc,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:01:46.202,2021-09-04 08:01:46.202,0
613327f1374120c54cfaef46,file_course_datas,61331e80d5ca509cf45319b5_1630740098819.m3u8,61331e80d5ca509cf45319b5,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:01:53.946,2021-09-04 08:01:53.946,0
613327ff9da727f21926efd3,file_course_datas,61331527afc69442bb845627_1630737727653.m3u8,61331527afc69442bb845627,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:02:07.239,2021-09-04 08:02:07.239,0
61332834374120c54cfaf126,file_course_datas,61332741afc69442bb8479d1_1630742339420.m3u8,61332741afc69442bb8479d1,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-09-04 08:03:00.744,2021-09-04 08:03:00.744,0
6133286f4f6aad370673e0e6,file_course_datas,61331c46177046990b4c890a_1630739528135.m3u8,61331c46177046990b4c890a,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:03:59.670,2021-09-04 08:03:59.670,0
